Fecha;Encuestadora;Muestra;Todos;Juntos;Libertad_Avanza;Consenso_Federal;FIT;Otros;Blanco;Indecisos;Ventaja
7/5/2023;CELAG;2002;26,1;24,6;29,3;6,2;3,5;6;1;1,7;3,2
30/4/2023;Fixer;1257;26;32;22;3;2;;5;10;6
30/4/2023;Opinaia;2000;23;27;26;2;2;;;15;1
16/4/2023;Zuban Córdoba & Asociados;1300;26,6;20,4;26;5,6;2,7;;;18,7;0,6
16/4/2023;Zuban Córdoba & Asociados;;28,1;24;22;5,7;2,4;;;17,8;4,1
16/4/2023;Zuban Córdoba & Asociados;;28,5;23,5;18;4,7;2,8;7,5;;14,9;5
15/4/2023;Synopsis;1679;23,7;26,6;26,5;3,6;3,8;4,5;;11,3;0,1
15/4/2023;Synopsis;;30;29,8;24,9;2,2;2,4;3,7;;7,1;0,2
15/4/2023;Synopsis;;22,8;28,1;16,6;10,8;4,9;5,4;;11,4;5,3
15/4/2023;Opina Argentina;1402;27;27;23;5;3;4;;7;
14/4/2023;IPD;1600;26;24;25;;5;;7;13;1
14/4/2023;IPD;;25;28;27;;;5;4;11;1
14/4/2023;Reale Dalla Torre;1600;27,6;31,15;26,7;2,7;3,8;;;8,7;3,55
14/4/2023;Reale Dalla Torre;;20,9;23,3;20,6;;4,9;2,3;;28;2,4
13/4/2023;Management & Fit;1500;26,5;27,6;24,3;6,8;4,5;3,2;7,2;3;1,1
13/4/2023;Management & Fit;;28,7;27,4;23,9;6,3;3,8;3,2;6,6;3,1;1,3
13/4/2023;Management & Fit;;30,7;26,5;23,7;6,8;3,9;3,2;5,8;2,7;4,2
13/4/2023;Management & Fit;;21,9;22,2;14,3;6,8;4,9;3,2;;27;0,3
9/4/2023;Taquion;2566;21,4;30,1;24,3;4,8;2,5;;9,5;7,5;5,8
9/4/2023;Inteligencia Analítica;9754;18,7;23,6;20,8;;5,3;;;31,6;2,8
4/4/2023;GOP y Trespuntozero;2000;27,7;36;19,3;;1,2;;5,7;10,1;8,3
4/4/2023;GOP y Trespuntozero;;30;36,6;19,1;;1,1;;2,8;10,4;6,6
2/4/2023;Inteligencia Analítica;9944;20,5;22,7;20,3;;5,8;;;30,7;2,2
31/3/2023;Analogías;2658;25,2;24,5;20,7;;3,5;;5;21,1;0,7
30/3/2023;UdeSA;1001;15;23;11;5;4;6;4;23;8
29/3/2023;Federico González & Asociados;1800;25,2;31,5;15,2;4,6;3,3;4,8;5,3;10,1;6,3
30/3/2023;Poliarquía;;27;25;23;;5;2;;18;2
31/3/2023;Poliarquía;;35;33;23;3;3;;;;2
27/3/2023;Mucho en Común;1821;10;10;25;;2;;19;33;15
23/3/2023;Opinaia;2000;20;29;20;4;3;;5;19;9
18/3/2023;Consultora Tendencias;8206;27,5;30,6;18,5;2,4;6,2;0,4;4,5;9,9;3,1
16/3/2023;Synopsis;1643;23,4;27,4;14,6;9,2;5,3;;;;4
12/3/2023;Clivajes Consultores;1395;26,7;20,8;28,4;;;;;24,1;1,7
13/3/2023;Aresco;4000;33;36,9;20,6;;;3,5;;6;3,9
28/2/2023;Management & Fit;2200;23,6;25,7;20,4;;;14,3;;16;2,1
27/2/2023;Opina Argentina;1250;27;27;24;5;4;;5;8;
27/2/2023;Opina Argentina;;28;32;22;3;4;1;2;7;4
17/2/2023;IPD;1004;27;31;18;7;5;;;9;4
16/2/2023;Solmoirago;2200;29,9;40,6;18;;2,7;;;8,7;10,7
16/2/2023;Solmoirago;;26,6;29,9;14,2;;2,5;;;27;3,3
10/2/2023;CIGP;2408;25,6;30,8;10,8;;;5,4;12,7;9,6;5,2
7/2/2023;Opinaia;1100;24;27;24;4;3;;;18;3
5/2/2023;Opina Argentina;1100;26;33;19;;3;5;4;11;7
3/2/2023;Opinaia;2000;24;31;24;3;2;;;16;7
22/1/2023;Zuban Córdoba & Asociados;1300;30,3;23;23,2;4,8;;7,9;;10,8;7,1
19/1/2023;Aresco;4000;25,4;28,6;22,3;5,2;4;4,3;3,7;6,5;3,2
20/1/2023;Aresco;;29,8;29,5;18,8;5,3;2,8;5,8;3,5;4,5;0,3
17/1/2023;Solmoirago;2200;29,1;37,3;19,5;;1,8;;;12,3;8,2
17/1/2023;Solmoirago;;29,3;41,1;18,1;;2,8;;;8,7;11,8
16/1/2023;Federico González & Asociados;1700;26,9;30,5;20,3;2,8;3,6;1,6;3,2;11,6;3,6
16/1/2023;Federico González & Asociados;;25,6;29,2;22,4;2,9;3,5;1,6;3,6;11,2;3,6
11/1/2023;Synopsis;1794;29,5;37,7;21,3;;2,9;4,1;;4,6;8,2
6/1/2023;Opinaia;2000;25;32;22;4;2;;;15;7
3/1/2023;Raúl Aragón & Asociados;1500;24,8;29,1;18,3;;3,7;7,3;8,1;8,7;4,3
